woonplaats,gemeente,provincie
Beers NB,Land van Cuijk,Noord-Brabant
Beerta,Oldambt,Groningen
Beerze,Ommen,Overijssel
Beerzerveld,Ommen,Overijssel
Beesd,West Betuwe,Gelderland
Beesel,Beesel,Limburg
Beets,Edam-Volendam,Noord-Holland
Beetsterzwaag,Opsterland,Friesland
Beilen,Midden-Drenthe,Drenthe
Beinsdorp,Haarlemmermeer,Noord-Holland
Belfeld,Venlo,Limburg
Bellingwolde,Westerwolde,Groningen
Belt-Schutsloot,Steenwijkerland,Overijssel
Beltrum,Berkelland,Gelderland
Bemelen,Eijsden-Margraten,Limburg
Bemmel,Lingewaard,Gelderland
Beneden-Leeuwen,West Maas en Waal,Gelderland
Bennebroek,Bloemendaal,Noord-Holland
Bennekom,Ede,Gelderland
Benneveld,Coevorden,Drenthe
Benningbroek,Medemblik,Noord-Holland
Benschop,Lopik,Utrecht
Bentelo,Hof van Twente,Overijssel
Benthuizen,Alphen aan den Rijn,Zuid-Holland
Bentveld,Zandvoort,Noord-Holland
Berg en Dal,Berg en Dal,Gelderland
Berg en Terblijt,Valkenburg aan de Geul,Limburg
Bergambacht,Krimpenerwaard,Zuid-Holland
Bergeijk,Bergeijk,Noord-Brabant
Bergen (NH),Bergen,Noord-Holland
Bergen L,Bergen,Limburg
Bergen aan Zee,Bergen,Noord-Holland
Bergen op Zoom,Bergen op Zoom,Noord-Brabant
Bergentheim,Hardenberg,Overijssel
Bergharen,Wijchen,Gelderland
Berghem,Oss,Noord-Brabant
Bergschenhoek,Lansingerland,Zuid-Holland
Beringe,Peel en Maas,Limburg
Berkel en Rodenrijs,Lansingerland,Zuid-Holland
Berkel-Enschot,Tilburg,Noord-Brabant
Berkenwoude,Krimpenerwaard,Zuid-Holland
Berkhout,Koggenland,Noord-Holland
Berlicum,Sint-Michielsgestel,Noord-Brabant
Berltsum,Waadhoeke,Friesland
Bern,Zaltbommel,Gelderland
Best,Best,Noord-Brabant
Beugen,Land van Cuijk,Noord-Brabant
Beuningen,Losser,Overijssel
Beuningen Gld,Beuningen,Gelderland
Beusichem,Buren,Gelderland
Beutenaken,Gulpen-Wittem,Limburg
Beverwijk,Beverwijk,Noord-Holland
Biddinghuizen,Dronten,Flevoland
Bierum,Eemsdelta,Groningen
Biervliet,Sluis,Zeeland
Biervliet,Terneuzen,Zeeland
Biest-Houtakker,Hilvarenbeek,Noord-Brabant
Biezenmortel,Tilburg,Noord-Brabant
Biggekerke,Veere,Zeeland
Bilthoven,De Bilt,Utrecht
Bingelrade,Beekdaelen,Limburg
Bitgum,Waadhoeke,Friesland
Bitgummole,Waadhoeke,Friesland
Bladel,Bladel,Noord-Brabant
Blankenham,Steenwijkerland,Overijssel
Blaricum,Blaricum,Noord-Holland
Blauwestad,Oldambt,Groningen
Blauwhuis,Súdwest-Friesland,Friesland
Bleiswijk,Lansingerland,Zuid-Holland
Blesdijke,Weststellingwerf,Friesland
Bleskensgraaf ca,Molenlanden,Zuid-Holland
Blessum,Waadhoeke,Friesland
Blije,Noardeast-Friesland,Friesland
Blijham,Westerwolde,Groningen
Blitterswijck,Venray,Limburg
Bloemendaal,Bloemendaal,Noord-Holland
Blokker,Hoorn,Noord-Holland
Blokzijl,Steenwijkerland,Overijssel
Boarnwert,Noardeast-Friesland,Friesland
Boazum,Súdwest-Friesland,Friesland
Bocholtz,Simpelveld,Limburg
Bodegraven,Bodegraven-Reeuwijk,Zuid-Holland
Boekel,Boekel,Noord-Brabant
Boelenslaan,Achtkarspelen,Friesland
Boer,Waadhoeke,Friesland
Boerakker,Westerkwartier,Groningen
Boesingheliede,Haarlemmermeer,Noord-Holland
Boijl,Weststellingwerf,Friesland
Boksum,Waadhoeke,Friesland
Bolsward,Súdwest-Friesland,Friesland
Bontebok,Heerenveen,Friesland
Boornbergum,Smallingerland,Friesland
Boornzwaag,De Fryske Marren,Friesland
Borculo,Berkelland,Gelderland
Borger,Borger-Odoorn,Drenthe
Borgercompagnie,Midden-Groningen,Groningen
Borgercompagnie,Veendam,Groningen
Borgsweer,Eemsdelta,Groningen
Born,Sittard-Geleen,Limburg
Borne,Borne,Overijssel
Bornerbroek,Almelo,Overijssel
Borssele,Borsele,Zeeland
Bosch en Duin,Zeist,Utrecht
Boschoord,Westerveld,Drenthe
Boskoop,Alphen aan den Rijn,Zuid-Holland
Bosschenhoofd,Halderberge,Noord-Brabant
Botlek Rotterdam,Rotterdam,Zuid-Holland
Bourtange,Westerwolde,Groningen
Boven-Leeuwen,West Maas en Waal,Gelderland
Bovenkarspel,Stede Broec,Noord-Holland
Bovensmilde,Midden-Drenthe,Drenthe
Boxmeer,Land van Cuijk,Noord-Brabant
Boxtel,Boxtel,Noord-Brabant
Braamt,Montferland,Gelderland
Brakel,Zaltbommel,Gelderland
Brandwijk,Molenlanden,Zuid-Holland
Brantgum,Noardeast-Friesland,Friesland
Breda,Breda,Noord-Brabant
Bredevoort,Aalten,Gelderland
Breedenbroek,Oude IJsselstreek,Gelderland
Breezand,Hollands Kroon,Noord-Holland
Breezanddijk,Súdwest-Friesland,Friesland
Breskens,Sluis,Zeeland
Breukelen,Stichtse Vecht,Utrecht
Breukeleveen,Wijdemeren,Noord-Holland
Brielle,Voorne aan Zee,Zuid-Holland
Briltil,Westerkwartier,Groningen
Britsum,Leeuwarden,Friesland
Britswert,Súdwest-Friesland,Friesland
Broek,De Fryske Marren,Friesland
Broek in Waterland,Waterland,Noord-Holland
Broek op Langedijk,Dijk en Waard,Noord-Holland
Broekhuizen,Meppel,Drenthe
Broekhuizen,Horst aan de Maas,Limburg
Broekhuizenvorst,Horst aan de Maas,Limburg
Broekland,Raalte,Overijssel
Broeksterwâld,Dantumadiel,Friesland
Bronkhorst,Bronckhorst,Gelderland
Bronneger,Borger-Odoorn,Drenthe
Bronnegerveen,Borger-Odoorn,Drenthe
Brouwershaven,Schouwen-Duiveland,Zeeland
Bruchem,Zaltbommel,Gelderland
Brucht,Hardenberg,Overijssel
Bruchterveld,Hardenberg,Overijssel
Bruinehaar,Twenterand,Overijssel
Bruinisse,Schouwen-Duiveland,Zeeland
Brummen,Brummen,Gelderland
Brunssum,Brunssum,Limburg
Bruntinge,Midden-Drenthe,Drenthe
Buchten,Sittard-Geleen,Limburg
Budel,Cranendonck,Noord-Brabant
Budel-Dorplein,Cranendonck,Noord-Brabant
Budel-Schoot,Cranendonck,Noord-Brabant
Buggenum,Leudal,Limburg
Buinen,Borger-Odoorn,Drenthe
Buinerveen,Borger-Odoorn,Drenthe
Buitenkaag,Haarlemmermeer,Noord-Holland
Buitenpost,Achtkarspelen,Friesland
Bunde,Meerssen,Limburg
Bunne,Tynaarlo,Drenthe
Bunnik,Bunnik,Utrecht
Bunschoten-Spakenburg,Bunschoten,Utrecht
Burdaard,Noardeast-Friesland,Friesland
Buren,Buren,Gelderland
Buren,Ameland,Friesland
Burgerbrug,Schagen,Noord-Holland
Burgerveen,Haarlemmermeer,Noord-Holland
Burgh-Haamstede,Schouwen-Duiveland,Zeeland
Burgum,Tytsjerksteradiel,Friesland
Burgwerd,Súdwest-Friesland,Friesland
Burum,Noardeast-Friesland,Friesland
Bussum,Gooise Meren,Noord-Holland
Buurmalsen,West Betuwe,Gelderland
Buurmalsen,Buren,Gelderland
Cadier en Keer,Eijsden-Margraten,Limburg
Cadzand,Sluis,Zeeland
Callantsoog,Schagen,Noord-Holland
Capelle aan den IJssel,Capelle aan den IJssel,Zuid-Holland
Castelre,Baarle-Nassau,Noord-Brabant
Castenray,Venray,Limburg
Casteren,Bladel,Noord-Brabant
Castricum,Castricum,Noord-Holland
Chaam,Alphen-Chaam,Noord-Brabant
Clinge,Hulst,Zeeland
Coevorden,Coevorden,Drenthe
Colijnsplaat,Noord-Beveland,Zeeland
Collendoorn,Hardenberg,Overijssel
Colmschate,Deventer,Overijssel
Cornwerd,Súdwest-Friesland,Friesland
Cothen,Wijk bij Duurstede,Utrecht
Creil,Noordoostpolder,Flevoland
Cromvoirt,Vught,Noord-Brabant
Cruquius,Haarlemmermeer,Noord-Holland
Cuijk,Land van Cuijk,Noord-Brabant
Culemborg,Culemborg,Gelderland
Daarle,Hellendoorn,Overijssel
Daarlerveen,Hellendoorn,Overijssel
Dalem,Gorinchem,Zuid-Holland
Dalen,Coevorden,Drenthe
Dalerpeel,Coevorden,Drenthe
Dalerveen,Coevorden,Drenthe
Dalfsen,Dalfsen,Overijssel
Dalmsholte,Ommen,Overijssel
Damwâld,Dantumadiel,Friesland
Darp,Westerveld,Drenthe
De Bilt,De Bilt,Utrecht
De Blesse,Weststellingwerf,Friesland
De Bult,Steenwijkerland,Overijssel
De Cocksdorp,Texel,Noord-Holland
De Falom,Dantumadiel,Friesland
De Glind,Barneveld,Gelderland
De Goorn,Koggenland,Noord-Holland
De Groeve,Tynaarlo,Drenthe
De Heen,Steenbergen,Noord-Brabant
De Heurne,Aalten,Gelderland
De Hoeve,Weststellingwerf,Friesland
De Kiel,Coevorden,Drenthe
De Klomp,Ede,Gelderland
De Knipe,Heerenveen,Friesland
De Koog,Texel,Noord-Holland
De Krim,Hardenberg,Overijssel
De Kwakel,Uithoorn,Noord-Holland
De Lier,Westland,Zuid-Holland
De Meern,Utrecht,Utrecht
De Moer,Loon op Zand,Noord-Brabant
De Mortel,Gemert-Bakel,Noord-Brabant
De Pol,Steenwijkerland,Overijssel
De Punt,Tynaarlo,Drenthe
De Rijp,Alkmaar,Noord-Holland
De Rips,Gemert-Bakel,Noord-Brabant
De Schiphorst,Meppel,Drenthe
De Steeg,Rheden,Gelderland
De Tike,Smallingerland,Friesland
